Date,Sales,StateHoliday,SchoolHoliday
2015-07-31,5263,0,1
2015-07-30,5020,0,1
2015-07-29,4782,0,1
2015-07-28,5011,0,1
2015-07-27,6102,0,1
2015-07-26,0,0,0
2015-07-25,4364,0,0
2015-07-24,3706,0,0
2015-07-23,3769,0,0
2015-07-22,3464,0,0
2015-07-21,3558,0,0
2015-07-20,4395,0,0
2015-07-19,0,0,0
2015-07-18,4406,0,0
2015-07-17,4852,0,0
2015-07-16,4427,0,0
2015-07-15,4767,0,0
2015-07-14,5042,0,0
2015-07-13,5054,0,0
2015-07-12,0,0,0
2015-07-11,3530,0,0
2015-07-10,3808,0,0
2015-07-09,3897,0,0
2015-07-08,3797,0,0
2015-07-07,3650,0,0
2015-07-06,4359,0,0
2015-07-05,0,0,0
2015-07-04,4797,0,0
2015-07-03,4665,0,0
2015-07-02,5558,0,0
2015-07-01,5223,0,0
2015-06-30,5735,0,0
2015-06-29,5197,0,0
2015-06-28,0,0,0
2015-06-27,4019,0,0
2015-06-26,3317,0,0
2015-06-25,3533,0,0
2015-06-24,3346,0,0
2015-06-23,3762,0,0
2015-06-22,3846,0,0
2015-06-21,0,0,0
2015-06-20,4097,0,0
2015-06-19,4202,0,0
2015-06-18,4645,0,0
2015-06-17,4000,0,0
2015-06-16,4852,0,0
2015-06-15,5518,0,0
2015-06-14,0,0,0
2015-06-13,4256,0,0
2015-06-12,3695,0,0
2015-06-11,3627,0,0
2015-06-10,3591,0,0
2015-06-09,4102,0,0
2015-06-08,4071,0,0
2015-06-07,0,0,0
2015-06-06,4183,0,0
2015-06-05,5384,0,0
2015-06-04,0,a,0
2015-06-03,5809,0,0
2015-06-02,5450,0,0
2015-06-01,5774,0,0
2015-05-31,0,0,0
2015-05-30,5592,0,0
2015-05-29,4656,0,0
2015-05-28,4111,0,0
2015-05-27,4083,0,0
2015-05-26,4211,0,0
2015-05-25,0,a,0
2015-05-24,0,0,0
2015-05-23,4276,0,0
2015-05-22,4459,0,0
2015-05-21,3755,0,0
2015-05-20,4735,0,0
2015-05-19,5235,0,0
2015-05-18,5280,0,0
2015-05-17,0,0,0
2015-05-16,4431,0,0
2015-05-15,4178,0,0
2015-05-14,0,a,0
2015-05-13,3998,0,0
2015-05-12,3547,0,0
2015-05-11,3551,0,0
2015-05-10,0,0,0
2015-05-09,4945,0,0
2015-05-08,4683,0,0
2015-05-07,4529,0,0
2015-05-06,4960,0,0
2015-05-05,4564,0,0
2015-05-04,5591,0,0
2015-05-03,0,0,0
2015-05-02,5850,0,0
2015-05-01,0,a,0
2015-04-30,6228,0,0
2015-04-29,5775,0,0
2015-04-28,5199,0,0
2015-04-27,5575,0,0
2015-04-26,0,0,0
2015-04-25,4318,0,0
2015-04-24,3198,0,0
2015-04-23,3076,0,0
2015-04-22,3319,0,0
2015-04-21,3037,0,0
2015-04-20,3722,0,0
2015-04-19,0,0,0
2015-04-18,4594,0,0
2015-04-17,4718,0,0
2015-04-16,4116,0,0
2015-04-15,4110,0,0
2015-04-14,4648,0,0
2015-04-13,5377,0,0
2015-04-12,0,0,0
2015-04-11,4173,0,0
2015-04-10,3549,0,1
2015-04-09,3467,0,1
2015-04-08,4194,0,1
2015-04-07,4163,0,1
2015-04-06,0,b,1
2015-04-05,0,0,1
2015-04-04,6709,0,1
2015-04-03,0,b,1
2015-04-02,6574,0,1
2015-04-01,6816,0,1
2015-03-31,6206,0,1
2015-03-30,6714,0,1
2015-03-29,0,0,0
2015-03-28,5208,0,0
2015-03-27,4005,0,0
2015-03-26,3932,0,0
2015-03-25,3531,0,0
2015-03-24,3547,0,0
2015-03-23,3565,0,0
2015-03-22,0,0,0
2015-03-21,3909,0,0
2015-03-20,4057,0,0
2015-03-19,4748,0,0
2015-03-18,3858,0,0
2015-03-17,4806,0,0
2015-03-16,5695,0,0
2015-03-15,0,0,0
2015-03-14,5225,0,0
2015-03-13,3725,0,0
2015-03-12,3141,0,0
2015-03-11,4170,0,0
2015-03-10,3805,0,0
2015-03-09,3701,0,0
2015-03-08,0,0,0
2015-03-07,4592,0,0
2015-03-06,5397,0,0
2015-03-05,4419,0,0
2015-03-04,5568,0,0
2015-03-03,5451,0,0
2015-03-02,5942,0,0
2015-03-01,0,0,0
2015-02-28,5289,0,0
2015-02-27,4708,0,0
2015-02-26,4042,0,0
2015-02-25,3875,0,0
2015-02-24,4054,0,0
2015-02-23,3598,0,0
2015-02-22,0,0,0
2015-02-21,4475,0,0
2015-02-20,4651,0,0
2015-02-19,4460,0,0
2015-02-18,4180,0,0
2015-02-17,4833,0,0
2015-02-16,4303,0,0
2015-02-15,0,0,0
2015-02-14,5015,0,0
2015-02-13,4726,0,0
2015-02-12,3900,0,0
2015-02-11,3735,0,0
2015-02-10,3136,0,0
2015-02-09,3965,0,0
2015-02-08,0,0,0
2015-02-07,4663,0,0
2015-02-06,5022,0,0
2015-02-05,4394,0,0
2015-02-04,4672,0,0
2015-02-03,4901,0,0
2015-02-02,6038,0,0
2015-02-01,0,0,0
2015-01-31,5363,0,0
2015-01-30,5577,0,0
2015-01-29,5171,0,0
2015-01-28,4310,0,0
2015-01-27,4806,0,0
2015-01-26,4781,0,0
2015-01-25,0,0,0
2015-01-24,4840,0,0
2015-01-23,3586,0,0
2015-01-22,3492,0,0
2015-01-21,3299,0,0
2015-01-20,3680,0,0
2015-01-19,3721,0,0
2015-01-18,0,0,0
2015-01-17,5255,0,0
2015-01-16,4161,0,0
2015-01-15,4295,0,0
2015-01-14,4541,0,0
2015-01-13,4924,0,0
2015-01-12,5346,0,0
2015-01-11,0,0,0
2015-01-10,4599,0,0
2015-01-09,3998,0,1
2015-01-08,3716,0,1
2015-01-07,4796,0,1
2015-01-06,4574,0,1
2015-01-05,6239,0,1
2015-01-04,0,0,1
2015-01-03,5023,0,1
2015-01-02,5509,0,1
2015-01-01,0,a,1
2014-12-31,2605,0,1
2014-12-30,6466,0,1
2014-12-29,6463,0,1
2014-12-28,0,0,1
2014-12-27,6057,0,1
2014-12-26,0,c,1
2014-12-25,0,c,1
2014-12-24,3659,0,1
2014-12-23,7959,0,1
2014-12-22,9331,0,1
2014-12-21,0,0,0
2014-12-20,8367,0,0
2014-12-19,7558,0,0
2014-12-18,7785,0,0
2014-12-17,7523,0,0
2014-12-16,7739,0,0
2014-12-15,8069,0,0
2014-12-14,0,0,0
2014-12-13,7263,0,0
2014-12-12,5269,0,0
2014-12-11,5060,0,0
2014-12-10,4915,0,0
2014-12-09,4345,0,0
2014-12-08,4884,0,0
2014-12-07,0,0,0
2014-12-06,6185,0,0
2014-12-05,6207,0,0
2014-12-04,7016,0,0
2014-12-03,6454,0,0
2014-12-02,6467,0,0
2014-12-01,7380,0,0
2014-11-30,0,0,0
2014-11-29,7066,0,0
2014-11-28,7195,0,0
2014-11-27,6144,0,0
2014-11-26,5328,0,0
2014-11-25,5815,0,0
2014-11-24,6527,0,0
2014-11-23,0,0,0
2014-11-22,5849,0,0
2014-11-21,4594,0,0
2014-11-20,4963,0,0
2014-11-19,3894,0,0
2014-11-18,3890,0,0
2014-11-17,3582,0,0
2014-11-16,0,0,0
2014-11-15,4967,0,0
2014-11-14,5334,0,0
2014-11-13,3869,0,0
2014-11-12,4677,0,0
2014-11-11,4479,0,0
2014-11-10,5474,0,0
2014-11-09,0,0,0
2014-11-08,4720,0,0
2014-11-07,5220,0,0
2014-11-06,4785,0,0
2014-11-05,4838,0,0
2014-11-04,5253,0,0
2014-11-03,5857,0,0
2014-11-02,0,0,0
2014-11-01,6532,0,0
2014-10-31,4161,0,1
2014-10-30,4042,0,1
2014-10-29,3761,0,1
2014-10-28,3364,0,1
2014-10-27,4260,0,1
2014-10-26,0,0,1
2014-10-25,4596,0,1
2014-10-24,4196,0,1
2014-10-23,4466,0,1
2014-10-22,4868,0,1
2014-10-21,4678,0,1
2014-10-20,4652,0,1
2014-10-19,0,0,0
2014-10-18,4169,0,0
2014-10-17,3720,0,0
2014-10-16,3430,0,0
2014-10-15,3775,0,0
2014-10-14,3681,0,0
2014-10-13,4033,0,0
2014-10-12,0,0,0
2014-10-11,4743,0,0
2014-10-10,4396,0,0
2014-10-09,4654,0,0
2014-10-08,4944,0,0
2014-10-07,5439,0,0
2014-10-06,5402,0,0
2014-10-05,0,0,0
2014-10-04,5355,0,0
2014-10-03,0,a,0
2014-10-02,5400,0,0
2014-10-01,4712,0,0
2014-09-30,4919,0,0
2014-09-29,5280,0,0
2014-09-28,0,0,0
2014-09-27,3914,0,0
2014-09-26,3518,0,0
2014-09-25,2462,0,0
2014-09-24,3405,0,0
2014-09-23,3407,0,0
2014-09-22,3982,0,0
2014-09-21,0,0,0
2014-09-20,3911,0,0
2014-09-19,4128,0,0
2014-09-18,3740,0,0
2014-09-17,4383,0,0
2014-09-16,4381,0,0
2014-09-15,4611,0,0
2014-09-14,0,0,0
2014-09-13,4270,0,0
2014-09-12,3906,0,0
2014-09-11,3392,0,0
2014-09-10,3275,0,0
2014-09-09,3377,0,0
2014-09-08,3676,0,0
2014-09-07,0,0,0
2014-09-06,3959,0,0
2014-09-05,4706,0,1
2014-09-04,4346,0,1
2014-09-03,4978,0,1
2014-09-02,5008,0,1
2014-09-01,5464,0,1
2014-08-31,0,0,1
2014-08-30,4094,0,1
2014-08-29,3869,0,1
2014-08-28,3920,0,1
2014-08-27,3148,0,1
2014-08-26,3396,0,1
2014-08-25,3414,0,1
2014-08-24,0,0,1
2014-08-23,3582,0,1
2014-08-22,3971,0,1
2014-08-21,4327,0,1
2014-08-20,4280,0,1
2014-08-19,5190,0,1
2014-08-18,5623,0,1
2014-08-17,0,0,1
2014-08-16,4425,0,1
2014-08-15,3746,0,1
2014-08-14,3906,0,1
2014-08-13,4069,0,1
2014-08-12,3185,0,1
2014-08-11,3886,0,1
2014-08-10,0,0,1
2014-08-09,4174,0,1
2014-08-08,4451,0,1
2014-08-07,4154,0,1
2014-08-06,5337,0,1
2014-08-05,5433,0,1
2014-08-04,5655,0,1
2014-08-03,0,0,1
2014-08-02,4731,0,1
2014-08-01,5038,0,1
2014-07-31,5106,0,0
2014-07-30,5487,0,1
2014-07-29,5252,0,1
2014-07-28,5372,0,1
2014-07-27,0,0,0
2014-07-26,4266,0,0
2014-07-25,3858,0,0
2014-07-24,3557,0,0
2014-07-23,3806,0,0
2014-07-22,3933,0,0
2014-07-21,4507,0,0
2014-07-20,0,0,0
2014-07-19,4084,0,0
2014-07-18,4609,0,0
2014-07-17,4685,0,0
2014-07-16,5424,0,0
2014-07-15,5298,0,0
2014-07-14,5083,0,0
2014-07-13,0,0,0
2014-07-12,4409,0,0
2014-07-11,4020,0,0
2014-07-10,3741,0,0
2014-07-09,3547,0,0
2014-07-08,4081,0,0
2014-07-07,4223,0,0
2014-07-06,0,0,0
2014-07-05,5176,0,0
2014-07-04,4025,0,0
2014-07-03,4756,0,0
2014-07-02,5161,0,0
2014-07-01,5138,0,0
2014-06-30,5738,0,0
2014-06-29,0,0,0
2014-06-28,5162,0,0
2014-06-27,4019,0,0
2014-06-26,2749,0,0
2014-06-25,3727,0,0
2014-06-24,3351,0,0
2014-06-23,3755,0,0
2014-06-22,0,0,0
2014-06-21,3982,0,0
2014-06-20,6362,0,0
2014-06-19,0,a,0
2014-06-18,5256,0,0
2014-06-17,5770,0,0
2014-06-16,4788,0,0
2014-06-15,0,0,0
2014-06-14,4757,0,0
2014-06-13,3901,0,0
2014-06-12,3702,0,0
2014-06-11,4207,0,0
2014-06-10,4607,0,0
2014-06-09,0,a,0
2014-06-08,0,0,0
2014-06-07,4923,0,0
2014-06-06,4957,0,0
2014-06-05,5278,0,0
2014-06-04,5229,0,0
2014-06-03,5614,0,0
2014-06-02,6071,0,0
2014-06-01,0,0,0
2014-05-31,4985,0,0
2014-05-30,5407,0,0
2014-05-29,0,a,0
2014-05-28,4616,0,0
2014-05-27,3971,0,0
2014-05-26,3912,0,0
2014-05-25,0,0,0
2014-05-24,4574,0,0
2014-05-23,4968,0,0
2014-05-22,3801,0,0
2014-05-21,4298,0,0
2014-05-20,4909,0,0
2014-05-19,5637,0,0
2014-05-18,0,0,0
2014-05-17,3785,0,0
2014-05-16,3863,0,0
2014-05-15,3589,0,0
2014-05-14,3710,0,0
2014-05-13,3535,0,0
2014-05-12,3957,0,0
2014-05-11,0,0,0
2014-05-10,5996,0,0
2014-05-09,5237,0,0
2014-05-08,5222,0,0
2014-05-07,5075,0,0
2014-05-06,5055,0,0
2014-05-05,5325,0,0
2014-05-04,0,0,0
2014-05-03,5498,0,0
2014-05-02,6790,0,0
2014-05-01,0,a,0
2014-04-30,5870,0,0
2014-04-29,5923,0,0
2014-04-28,5488,0,0
2014-04-27,0,0,0
2014-04-26,3989,0,0
2014-04-25,3710,0,1
2014-04-24,3376,0,1
2014-04-23,3482,0,1
2014-04-22,4133,0,1
2014-04-21,0,b,1
2014-04-20,0,0,1
2014-04-19,5871,0,1
2014-04-18,0,b,1
2014-04-17,6160,0,1
2014-04-16,6381,0,1
2014-04-15,6196,0,1
2014-04-14,6803,0,1
2014-04-13,0,0,0
2014-04-12,4435,0,0
2014-04-11,3733,0,0
2014-04-10,3948,0,0
2014-04-09,3919,0,0
2014-04-08,3990,0,0
2014-04-07,3751,0,0
2014-04-06,0,0,0
2014-04-05,4599,0,0
2014-04-04,4738,0,0
2014-04-03,4556,0,0
2014-04-02,4834,0,0
2014-04-01,5407,0,0
2014-03-31,6008,0,0
2014-03-30,0,0,0
2014-03-29,4583,0,0
2014-03-28,3987,0,0
2014-03-27,3847,0,0
2014-03-26,3225,0,0
2014-03-25,3136,0,0
2014-03-24,3850,0,0
2014-03-23,0,0,0
2014-03-22,5241,0,0
2014-03-21,4510,0,0
2014-03-20,4023,0,0
2014-03-19,4036,0,0
2014-03-18,5200,0,0
2014-03-17,5563,0,0
2014-03-16,0,0,0
2014-03-15,5042,0,0
2014-03-14,3883,0,0
2014-03-13,3224,0,0
2014-03-12,3805,0,0
2014-03-11,3588,0,0
2014-03-10,3573,0,0
2014-03-09,0,0,0
2014-03-08,4400,0,0
2014-03-07,5340,0,0
2014-03-06,4585,0,0
2014-03-05,4916,0,0
2014-03-04,5397,0,0
2014-03-03,6198,0,0
2014-03-02,0,0,0
2014-03-01,5307,0,0
2014-02-28,5031,0,0
2014-02-27,3826,0,0
2014-02-26,4108,0,0
2014-02-25,3499,0,0
2014-02-24,3826,0,0
2014-02-23,0,0,0
2014-02-22,4820,0,0
2014-02-21,4727,0,0
2014-02-20,4563,0,0
2014-02-19,4935,0,0
2014-02-18,4602,0,0
2014-02-17,5393,0,0
2014-02-16,0,0,0
2014-02-15,5258,0,0
2014-02-14,4647,0,0
2014-02-13,3638,0,0
2014-02-12,3662,0,0
2014-02-11,3461,0,0
2014-02-10,3591,0,0
2014-02-09,0,0,0
2014-02-08,4726,0,0
2014-02-07,5596,0,0
2014-02-06,4823,0,0
2014-02-05,5031,0,0
2014-02-04,5540,0,0
2014-02-03,5839,0,0
2014-02-02,0,0,0
2014-02-01,5292,0,0
2014-01-31,4906,0,0
2014-01-30,4549,0,0
2014-01-29,3789,0,0
2014-01-28,3581,0,0
2014-01-27,3601,0,0
2014-01-26,0,0,0
2014-01-25,4546,0,0
2014-01-24,5098,0,0
2014-01-23,4597,0,0
2014-01-22,4562,0,0
2014-01-21,5151,0,0
2014-01-20,6148,0,0
2014-01-19,0,0,0
2014-01-18,5128,0,0
2014-01-17,3803,0,0
2014-01-16,3632,0,0
2014-01-15,3776,0,0
2014-01-14,3621,0,0
2014-01-13,3994,0,0
2014-01-12,0,0,0
2014-01-11,4454,0,0
2014-01-10,4486,0,1
2014-01-09,4396,0,1
2014-01-08,4931,0,1
2014-01-07,5539,0,1
2014-01-06,6194,0,1
2014-01-05,0,0,1
2014-01-04,5173,0,1
2014-01-03,4190,0,1
2014-01-02,4969,0,1
2014-01-01,0,a,1
2013-12-31,2362,0,1
2013-12-30,7193,0,1
2013-12-29,0,0,1
2013-12-28,5659,0,1
2013-12-27,6110,0,1
2013-12-26,0,c,1
2013-12-25,0,c,1
2013-12-24,3204,0,1
2013-12-23,9528,0,1
2013-12-22,0,0,0
2013-12-21,8043,0,0
2013-12-20,8414,0,0
2013-12-19,6788,0,0
2013-12-18,7821,0,0
2013-12-17,7356,0,0
2013-12-16,8277,0,0
2013-12-15,0,0,0
2013-12-14,6119,0,0
2013-12-13,4703,0,0
2013-12-12,4074,0,0
2013-12-11,4301,0,0
2013-12-10,4228,0,0
2013-12-09,4462,0,0
2013-12-08,0,0,0
2013-12-07,5799,0,0
2013-12-06,6112,0,0
2013-12-05,5691,0,0
2013-12-04,5688,0,0
2013-12-03,6293,0,0
2013-12-02,6943,0,0
2013-12-01,0,0,0
2013-11-30,6373,0,0
2013-11-29,5623,0,0
2013-11-28,4614,0,0
2013-11-27,4561,0,0
2013-11-26,4201,0,0
2013-11-25,4600,0,0
2013-11-24,0,0,0
2013-11-23,5297,0,0
2013-11-22,5058,0,0
2013-11-21,4623,0,0
2013-11-20,4936,0,0
2013-11-19,5143,0,0
2013-11-18,5927,0,0
2013-11-17,0,0,0
2013-11-16,5071,0,0
2013-11-15,4016,0,0
2013-11-14,3795,0,0
2013-11-13,3310,0,0
2013-11-12,4017,0,0
2013-11-11,4014,0,0
2013-11-10,0,0,0
2013-11-09,4681,0,0
2013-11-08,5242,0,0
2013-11-07,5009,0,0
2013-11-06,5572,0,0
2013-11-05,5348,0,0
2013-11-04,5861,0,0
2013-11-03,0,0,0
2013-11-02,5233,0,0
2013-11-01,5471,0,0
2013-10-31,4035,0,0
2013-10-30,4119,0,0
2013-10-29,3737,0,0
2013-10-28,3557,0,0
2013-10-27,0,0,0
2013-10-26,4347,0,0
2013-10-25,4573,0,1
2013-10-24,4044,0,1
2013-10-23,4612,0,1
2013-10-22,4068,0,1
2013-10-21,5055,0,1
2013-10-20,0,0,1
2013-10-19,3667,0,1
2013-10-18,3566,0,1
2013-10-17,3223,0,1
2013-10-16,3383,0,1
2013-10-15,3355,0,1
2013-10-14,3773,0,1
2013-10-13,0,0,0
2013-10-12,4954,0,0
2013-10-11,5896,0,0
2013-10-10,5286,0,0
2013-10-09,4957,0,0
2013-10-08,5452,0,0
2013-10-07,6004,0,0
2013-10-06,0,0,0
2013-10-05,5352,0,0
2013-10-04,5447,0,0
2013-10-03,0,a,0
2013-10-02,4001,0,0
2013-10-01,4178,0,0
2013-09-30,4088,0,0
2013-09-29,0,0,0
2013-09-28,4175,0,0
2013-09-27,4669,0,0
2013-09-26,4481,0,0
2013-09-25,4212,0,0
2013-09-24,4274,0,0
2013-09-23,4770,0,0
2013-09-22,0,0,0
2013-09-21,3909,0,0
2013-09-20,3516,0,0
2013-09-19,3717,0,0
2013-09-18,3946,0,0
2013-09-17,3685,0,0
2013-09-16,4249,0,0
2013-09-15,0,0,0
2013-09-14,4663,0,0
2013-09-13,5187,0,0
2013-09-12,5079,0,0
2013-09-11,5103,0,0
2013-09-10,5403,0,0
2013-09-09,5893,0,0
2013-09-08,0,0,0
2013-09-07,4663,0,0
2013-09-06,3836,0,0
2013-09-05,3883,0,0
2013-09-04,3343,0,0
2013-09-03,3928,0,0
2013-09-02,4195,0,0
2013-09-01,0,0,0
2013-08-31,5317,0,0
2013-08-30,5469,0,0
2013-08-29,4804,0,0
2013-08-28,4583,0,0
2013-08-27,5156,0,0
2013-08-26,5482,0,0
2013-08-25,0,0,0
2013-08-24,4752,0,0
2013-08-23,3493,0,0
2013-08-22,3703,0,0
2013-08-21,3096,0,0
2013-08-20,3492,0,0
2013-08-19,3954,0,0
2013-08-18,0,0,0
2013-08-17,4078,0,0
2013-08-16,4552,0,1
2013-08-15,4575,0,1
2013-08-14,4724,0,1
2013-08-13,5299,0,1
2013-08-12,5326,0,1
2013-08-11,0,0,1
2013-08-10,3768,0,1
2013-08-09,3257,0,1
2013-08-08,3680,0,1
2013-08-07,4143,0,1
2013-08-06,3582,0,1
2013-08-05,4086,0,1
2013-08-04,0,0,1
2013-08-03,4461,0,1
2013-08-02,4494,0,1
2013-08-01,4994,0,1
2013-07-31,5572,0,1
2013-07-30,5773,0,1
2013-07-29,6290,0,1
2013-07-28,0,0,1
2013-07-27,3352,0,1
2013-07-26,4221,0,1
2013-07-25,3502,0,1
2013-07-24,3849,0,1
2013-07-23,3937,0,1
2013-07-22,4149,0,1
2013-07-21,0,0,1
2013-07-20,4421,0,1
2013-07-19,4275,0,1
2013-07-18,4904,0,1
2013-07-17,4946,0,1
2013-07-16,5643,0,1
2013-07-15,6377,0,1
2013-07-14,0,0,1
2013-07-13,4015,0,1
2013-07-12,4134,0,1
2013-07-11,4053,0,1
2013-07-10,3963,0,1
2013-07-09,4047,0,1
2013-07-08,4475,0,1
2013-07-07,0,0,1
2013-07-06,4090,0,1
2013-07-05,4986,0,0
2013-07-04,5701,0,0
2013-07-03,5875,0,0
2013-07-02,5868,0,0
2013-07-01,5614,0,0
2013-06-30,0,0,0
2013-06-29,5804,0,0
2013-06-28,4407,0,0
2013-06-27,3593,0,0
2013-06-26,3827,0,0
2013-06-25,4536,0,0
2013-06-24,3549,0,0
2013-06-23,0,0,0
2013-06-22,4341,0,0
2013-06-21,5173,0,0
2013-06-20,5011,0,0
2013-06-19,4180,0,0
2013-06-18,4633,0,0
2013-06-17,5337,0,0
2013-06-16,0,0,0
2013-06-15,4766,0,0
2013-06-14,4150,0,0
2013-06-13,3661,0,0
2013-06-12,3563,0,0
2013-06-11,3784,0,0
2013-06-10,4291,0,0
2013-06-09,0,0,0
2013-06-08,4262,0,0
2013-06-07,4315,0,0
2013-06-06,4881,0,0
2013-06-05,5012,0,0
2013-06-04,5220,0,0
2013-06-03,5422,0,0
2013-06-02,0,0,0
2013-06-01,5693,0,0
2013-05-31,7893,0,0
2013-05-30,0,a,0
2013-05-29,5784,0,0
2013-05-28,4995,0,0
2013-05-27,5519,0,0
2013-05-26,0,0,0
2013-05-25,4408,0,0
2013-05-24,4232,0,0
2013-05-23,4030,0,0
2013-05-22,3559,0,0
2013-05-21,4789,0,0
2013-05-20,0,a,0
2013-05-19,0,0,0
2013-05-18,4413,0,0
2013-05-17,4856,0,0
2013-05-16,4448,0,0
2013-05-15,4790,0,0
2013-05-14,5083,0,0
2013-05-13,6106,0,0
2013-05-12,0,0,0
2013-05-11,5064,0,0
2013-05-10,5409,0,0
2013-05-09,0,a,0
2013-05-08,5230,0,0
2013-05-07,4624,0,0
2013-05-06,4568,0,0
2013-05-05,0,0,0
2013-05-04,5912,0,0
2013-05-03,6027,0,0
2013-05-02,6486,0,0
2013-05-01,0,a,0
2013-04-30,5925,0,0
2013-04-29,5821,0,0
2013-04-28,0,0,0
2013-04-27,5726,0,0
2013-04-26,4841,0,0
2013-04-25,3939,0,0
2013-04-24,4309,0,0
2013-04-23,4492,0,0
2013-04-22,5672,0,0
2013-04-21,0,0,0
2013-04-20,4350,0,0
2013-04-19,4303,0,0
2013-04-18,2952,0,0
2013-04-17,3649,0,0
2013-04-16,3357,0,0
2013-04-15,3941,0,0
2013-04-14,0,0,0
2013-04-13,4773,0,0
2013-04-12,5263,0,0
2013-04-11,4366,0,0
2013-04-10,4903,0,0
2013-04-09,5514,0,0
2013-04-08,6046,0,0
2013-04-07,0,0,0
2013-04-06,5075,0,0
2013-04-05,4390,0,1
2013-04-04,4293,0,1
2013-04-03,4625,0,1
2013-04-02,5484,0,1
2013-04-01,0,b,1
2013-03-31,0,0,0
2013-03-30,7132,0,0
2013-03-29,0,b,1
2013-03-28,7285,0,1
2013-03-27,6660,0,1
2013-03-26,6686,0,1
2013-03-25,6729,0,1
2013-03-24,0,0,0
2013-03-23,5603,0,0
2013-03-22,5506,0,0
2013-03-21,5179,0,0
2013-03-20,5598,0,0
2013-03-19,6563,0,0
2013-03-18,7072,0,0
2013-03-17,0,0,0
2013-03-16,5003,0,0
2013-03-15,4925,0,0
2013-03-14,5108,0,0
2013-03-13,4341,0,0
2013-03-12,3853,0,0
2013-03-11,4949,0,0
2013-03-10,0,0,0
2013-03-09,5578,0,0
2013-03-08,5853,0,0
2013-03-07,5637,0,0
2013-03-06,5973,0,0
2013-03-05,6300,0,0
2013-03-04,7675,0,0
2013-03-03,0,0,0
2013-03-02,5350,0,0
2013-03-01,4611,0,0
2013-02-28,4676,0,0
2013-02-27,4558,0,0
2013-02-26,3794,0,0
2013-02-25,4038,0,0
2013-02-24,0,0,0
2013-02-23,5237,0,0
2013-02-22,5000,0,0
2013-02-21,5261,0,0
2013-02-20,5660,0,0
2013-02-19,5386,0,0
2013-02-18,6407,0,0
2013-02-17,0,0,0
2013-02-16,6154,0,0
2013-02-15,4809,0,0
2013-02-14,4241,0,0
2013-02-13,4252,0,0
2013-02-12,4015,0,0
2013-02-11,4409,0,0
2013-02-10,0,0,0
2013-02-09,5370,0,0
2013-02-08,5681,0,0
2013-02-07,5499,0,0
2013-02-06,6140,0,0
2013-02-05,6049,0,0
2013-02-04,7032,0,0
2013-02-03,0,0,0
2013-02-02,5970,0,0
2013-02-01,5633,0,0
2013-01-31,4709,0,0
2013-01-30,4601,0,0
2013-01-29,3725,0,0
2013-01-28,4055,0,0
2013-01-27,0,0,0
2013-01-26,5598,0,0
2013-01-25,5586,0,0
2013-01-24,5195,0,0
2013-01-23,5578,0,0
2013-01-22,5720,0,0
2013-01-21,5394,0,0
2013-01-20,0,0,0
2013-01-19,5182,0,0
2013-01-18,4127,0,0
2013-01-17,4044,0,0
2013-01-16,4008,0,0
2013-01-15,3900,0,0
2013-01-14,4717,0,0
2013-01-13,0,0,0
2013-01-12,4952,0,0
2013-01-11,4881,0,1
2013-01-10,4892,0,1
2013-01-09,5471,0,1
2013-01-08,5580,0,1
2013-01-07,7176,0,1
2013-01-06,0,0,1
2013-01-05,4997,0,1
2013-01-04,4486,0,1
2013-01-03,4327,0,1
2013-01-02,5530,0,1
2013-01-01,0,a,1
